Min + Max,298.6,1.662996557422774
2 * Mean,298.465,3.4618217928344834
2 * Median,298.55,6.283894617144291
First Quartile + Third Quartile - Min,194.375,5.56112042688735
Max - Min,91.7,1.8650992299338927
(2 * Median) - Min,195.1,6.326196071692688
Max + (Standard Deviation / 2) - Min,105.9610824923842,2.1842273712450644
Min + Max,300.45,0.7025036009694183
2 * Mean,300.4,2.1424342579411864
2 * Median,299.7,3.194224047010479
First Quartile + Third Quartile - Min,200.2,3.2079608905034984
Max - Min,98.35,0.7289689015143238
(2 * Median) - Min,198.65,3.1174269092273836
Max + (Standard Deviation / 2) - Min,113.12317376934882,0.8593948922134014
Min + Max,299.85,0.13134271725147154
2 * Mean,300.64125,0.924541199024339
2 * Median,301.5,1.7812395438289592
First Quartile + Third Quartile - Min,199.95,2.0280088133129497
Max - Min,99.65,0.24050215045816115
(2 * Median) - Min,201.4,1.7922197619153741
Max + (Standard Deviation / 2) - Min,114.36576721343108,0.30086103925104746
